Agent Name,KD,Kills,Deaths,Assists,Pick Rate,ACS,First Blood,Num Matches,Label
7,0.67,11.5,17.3,5.0,0.023,198.0,0.261,204.0,0.0
1,1.08,18.7,17.3,5.0,0.017,226.0,0.054,153.0,1.0
14,0.89,12.5,14.0,4.0,0.012,159.0,0.24,102.0,2.0
12,0.42,8.0,19.0,5.0,0.006,144.0,0.0,51.0,0.0
6,0.79,11.5,14.5,4.5,0.133,171.0,0.087,102.0,0.0
10,1.07,15.5,14.5,9.0,0.133,216.0,0.0969999999999999,102.0,2.0
8,0.82,14.0,17.0,3.5,0.133,213.0,0.107,102.0,1.0
4,1.24,21.0,17.0,3.5,0.133,255.0,0.214,102.0,2.0
3,0.97,15.0,15.5,5.0,0.133,225.0,0.133,102.0,1.0
11,1.25,15.0,12.0,3.0,0.067,218.0,0.067,51.0,2.0
5,2.0,16.0,8.0,2.0,0.067,222.0,0.063,51.0,2.0
0,0.81,13.0,16.0,5.0,0.067,188.0,0.0,51.0,0.0
9,0.8,12.0,15.0,4.0,0.067,264.0,0.3329999999999999,51.0,0.0
13,2.13,17.0,8.0,2.0,0.067,241.0,0.059,51.0,2.0
10,1.07,15.1,14.1,4.7,0.157,214.0,0.12,2244.0,1.0
9,1.28,19.7,15.4,4.7,0.153,276.0,0.132,2193.0,1.0
4,1.06,16.6,15.7,3.4,0.125,236.0,0.2019999999999999,1785.0,1.0
8,1.1,16.3,14.8,5.3,0.1169999999999999,267.0,0.176,1683.0,1.0
6,0.92,13.3,14.5,5.0,0.089,198.0,0.135,1275.0,1.0
5,0.92,13.1,14.2,3.8,0.071,182.0,0.084,1020.0,1.0
3,0.98,14.8,15.1,3.9,0.053,195.0,0.095,765.0,1.0
12,0.93,13.4,14.5,5.6,0.05,218.0,0.09,714.0,0.0
7,1.4,19.1,13.6,3.5,0.039,275.0,0.152,561.0,1.0
11,0.93,13.6,14.6,4.2,0.039,196.0,0.113,561.0,1.0
2,0.86,13.2,15.3,8.2,0.032,187.0,0.1009999999999999,459.0,1.0
13,1.17,14.5,12.4,5.3,0.0279999999999999,223.0,0.147,408.0,1.0
0,1.1,16.9,15.3,6.0,0.025,208.0,0.11,357.0,1.0
1,0.74,12.6,17.0,4.6,0.018,176.0,0.095,255.0,0.0
14,1.31,21.0,16.0,6.0,0.004,247.0,0.19,51.0,0.0
10,0.78,11.7,15.0,4.5,0.178,159.0,0.075,1683.0,1.0
13,0.75,10.4,13.8,4.2,0.119,161.0,0.1,1122.0,1.0
9,1.08,16.1,14.9,4.1,0.114,236.0,0.178,1071.0,1.0
8,0.77,11.9,15.5,4.9,0.103,200.0,0.155,969.0,1.0
4,1.04,15.0,14.4,4.7,0.103,204.0,0.13,969.0,1.0
6,0.83,13.1,15.7,4.8,0.081,189.0,0.148,765.0,1.0
5,1.01,15.8,15.7,4.8,0.065,211.0,0.1639999999999999,612.0,1.0
11,0.76,10.9,14.3,5.0,0.043,148.0,0.034,408.0,1.0
1,0.78,11.9,15.1,5.6,0.038,174.0,0.12,357.0,1.0
3,1.11,17.0,15.3,6.6,0.038,210.0,0.092,357.0,2.0
14,0.88,12.7,14.3,2.7,0.032,194.0,0.1969999999999999,306.0,1.0
2,0.99,16.8,17.0,7.2,0.032,211.0,0.099,306.0,0.0
7,0.92,13.4,14.6,4.8,0.027,214.0,0.1939999999999999,255.0,1.0
