Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Label
4,1.9,0.162,0.7509999999999999,0.087,0
6,1.9,0.207,0.695,0.098,2
8,1.8,0.183,0.742,0.075,2
2,1.7,0.1169999999999999,0.693,0.19,1
1,1.6,0.146,0.721,0.134,0
15,1.3,0.165,0.76,0.074,0
13,1.3,0.143,0.723,0.134,0
16,8.7,0.192,0.7290000000000001,0.079,2
11,7.0,0.159,0.764,0.077,2
14,3.0,0.151,0.755,0.094,0
10,2.6,0.109,0.852,0.038,2
5,2.0,0.21,0.715,0.075,0
0,2.0,0.11,0.706,0.184,0
9,1.7,0.128,0.705,0.1669999999999999,2
3,1.5,0.183,0.7340000000000001,0.084,0
4,1.3,0.2269999999999999,0.711,0.062,0
12,1.3,0.196,0.74,0.064,1
6,1.3,0.175,0.825,0.0,2
7,1.3,0.121,0.72,0.159,0
8,1.2,0.247,0.753,0.0,1
2,1.1,0.1169999999999999,0.741,0.141,0
15,0.8,0.176,0.7909999999999999,0.033,1
1,0.5,0.155,0.718,0.127,0
13,0.5,0.208,0.7170000000000001,0.075,0
16,9.9,0.166,0.747,0.087,2
11,7.2,0.156,0.7559999999999999,0.088,2
14,3.3,0.128,0.7490000000000001,0.124,0
10,3.0,0.075,0.8809999999999999,0.044,2
9,2.8,0.085,0.7120000000000001,0.203,1
5,2.3,0.188,0.731,0.081,0
7,1.7,0.121,0.732,0.146,0
3,1.5,0.152,0.762,0.086,0
2,1.5,0.135,0.764,0.1009999999999999,1
0,1.5,0.06,0.746,0.1939999999999999,0
12,1.3,0.213,0.73,0.057,1
4,1.3,0.1689999999999999,0.737,0.094,0
6,1.3,0.198,0.741,0.062,2
8,1.0,0.228,0.748,0.024,2
15,0.9,0.143,0.774,0.0819999999999999,0
1,0.8,0.2019999999999999,0.715,0.083,0
13,0.7,0.152,0.6990000000000001,0.15,0
16,10.5,0.178,0.741,0.081,2
11,8.3,0.158,0.746,0.096,2
14,3.2,0.124,0.7659999999999999,0.11,0
10,3.2,0.1,0.8370000000000001,0.063,2
5,2.4,0.1989999999999999,0.7170000000000001,0.084,0
9,2.0,0.121,0.731,0.148,1
7,1.8,0.13,0.7020000000000001,0.168,0
4,1.5,0.165,0.741,0.093,0
3,1.5,0.162,0.765,0.073,0
6,1.5,0.316,0.674,0.011,2
2,1.4,0.166,0.802,0.032,1
12,1.3,0.2019999999999999,0.7509999999999999,0.047,1
8,1.2,0.193,0.752,0.055,1
0,1.2,0.052,0.6859999999999999,0.262,1
15,0.7,0.247,0.6890000000000001,0.063,0
13,0.6,0.136,0.708,0.156,0
1,0.4,0.156,0.8,0.044,0
16,12.4,0.192,0.74,0.067,2
11,8.5,0.182,0.7440000000000001,0.075,2
14,3.7,0.157,0.746,0.0969999999999999,0
10,3.0,0.057,0.924,0.019,2
5,2.2,0.213,0.7340000000000001,0.054,0
7,2.0,0.153,0.6940000000000001,0.153,1
0,2.0,0.063,0.563,0.375,0
3,1.8,0.198,0.754,0.048,0
12,1.5,0.191,0.7509999999999999,0.0579999999999999,0
6,1.5,0.282,0.718,0.0,2
9,1.3,0.147,0.765,0.088,1
4,1.2,0.145,0.7959999999999999,0.059,0
15,1.1,0.259,0.685,0.0559999999999999,1
8,0.9,0.2269999999999999,0.727,0.045,2
2,0.9,0.133,0.8170000000000001,0.05,0
13,0.7,0.172,0.747,0.081,0
1,0.6,0.2,0.667,0.133,0
16,7.0,0.1169999999999999,0.748,0.135,1
11,5.4,0.1169999999999999,0.748,0.136,1
14,4.1,0.098,0.76,0.143,0
0,3.3,0.071,0.693,0.235,0
10,3.0,0.107,0.8320000000000001,0.061,2
7,2.8,0.095,0.713,0.192,0
5,2.2,0.118,0.743,0.14,0
9,2.0,0.07,0.721,0.21,1
6,1.6,0.128,0.758,0.114,2
3,1.5,0.11,0.759,0.131,0
12,1.3,0.153,0.775,0.072,0
4,1.1,0.121,0.772,0.107,0
